"id","intent","utterance","answer"
1,"sapaan","hi","Hallo! Selamat datang di Adithya Card. Berikut informasi yang tersedia :

[1] Lokasi dan jam buka
[2] Menu Produk
[3] Cara Pemesanan
[4] Minimal Order
[5] Lama Proses Cetak
[6] Pembayaran
[7] Pengiriman
[8] Informasi Kontak

Silahkan beritahu saya pertanyaan dengan mengetikan pertanyaan anda."
2,"sapaan","hai","Hallo! Selamat datang di Adithya Card. Berikut informasi yang tersedia :

[1] Lokasi dan jam buka
[2] Menu Produk
[3] Cara Pemesanan
[4] Minimal Order
[5] Lama Proses Cetak
[6] Pembayaran
[7] Pengiriman
[8] Informasi Kontak

Silahkan beritahu saya pertanyaan dengan mengetikan pertanyaan anda."
3,"sapaan","halo","Hallo! Selamat datang di Adithya Card. Berikut informasi yang tersedia :

[1] Lokasi dan jam buka
[2] Menu Produk
[3] Cara Pemesanan
[4] Minimal Order
[5] Lama Proses Cetak
[6] Pembayaran
[7] Pengiriman
[8] Informasi Kontak

Silahkan beritahu saya pertanyaan dengan mengetikan pertanyaan anda."
4,"sapaan","hallo","Hallo! Selamat datang di Adithya Card. Berikut informasi yang tersedia :

[1] Lokasi dan jam buka
[2] Menu Produk
[3] Cara Pemesanan
[4] Minimal Order
[5] Lama Proses Cetak
[6] Pembayaran
[7] Pengiriman
[8] Informasi Kontak

Silahkan beritahu saya pertanyaan dengan mengetikan pertanyaan anda."
5,"sapaan","assalamualaikum","Hallo! Selamat datang di Adithya Card. Berikut informasi yang tersedia :

[1] Lokasi dan jam buka
[2] Menu Produk
[3] Cara Pemesanan
[4] Minimal Order
[5] Lama Proses Cetak
[6] Pembayaran
[7] Pengiriman
[8] Informasi Kontak

Silahkan beritahu saya pertanyaan dengan mengetikan pertanyaan anda."
6,"sapaan","p","Hallo! Selamat datang di Adithya Card. Berikut informasi yang tersedia :

[1] Lokasi dan jam buka
[2] Menu Produk
[3] Cara Pemesanan
[4] Minimal Order
[5] Lama Proses Cetak
[6] Pembayaran
[7] Pengiriman
[8] Informasi Kontak

Silahkan beritahu saya pertanyaan dengan mengetikan pertanyaan anda."
7,"sapaan","selamat pagi","Hallo! Selamat datang di Adithya Card. Berikut informasi yang tersedia :

[1] Lokasi dan jam buka
[2] Menu Produk
[3] Cara Pemesanan
[4] Minimal Order
[5] Lama Proses Cetak
[6] Pembayaran
[7] Pengiriman
[8] Informasi Kontak

Silahkan beritahu saya pertanyaan dengan mengetikan pertanyaan anda."
8,"sapaan","selamat siang","Hallo! Selamat datang di Adithya Card. Berikut informasi yang tersedia :

[1] Lokasi dan jam buka
[2] Menu Produk
[3] Cara Pemesanan
[4] Minimal Order
[5] Lama Proses Cetak
[6] Pembayaran
[7] Pengiriman
[8] Informasi Kontak

Silahkan beritahu saya pertanyaan dengan mengetikan pertanyaan anda."
9,"sapaan","selamat malam","Hallo! Selamat datang di Adithya Card. Berikut informasi yang tersedia :

[1] Lokasi dan jam buka
[2] Menu Produk
[3] Cara Pemesanan
[4] Minimal Order
[5] Lama Proses Cetak
[6] Pembayaran
[7] Pengiriman
[8] Informasi Kontak

Silahkan beritahu saya pertanyaan dengan mengetikan pertanyaan anda."
10,"sapaan","permisi","Hallo! Selamat datang di Adithya Card. Berikut informasi yang tersedia :

[1] Lokasi dan jam buka
[2] Menu Produk
[3] Cara Pemesanan
[4] Minimal Order
[5] Lama Proses Cetak
[6] Pembayaran
[7] Pengiriman
[8] Informasi Kontak

Silahkan beritahu saya pertanyaan dengan mengetikan pertanyaan anda."
11,"sapaan","pagi","Hallo! Selamat datang di Adithya Card. Berikut informasi yang tersedia :

[1] Lokasi dan jam buka
[2] Menu Produk
[3] Cara Pemesanan
[4] Minimal Order
[5] Lama Proses Cetak
[6] Pembayaran
[7] Pengiriman
[8] Informasi Kontak

Silahkan beritahu saya pertanyaan dengan mengetikan pertanyaan anda."
12,"sapaan","malam","Hallo! Selamat datang di Adithya Card. Berikut informasi yang tersedia :

[1] Lokasi dan jam buka
[2] Menu Produk
[3] Cara Pemesanan
[4] Minimal Order
[5] Lama Proses Cetak
[6] Pembayaran
[7] Pengiriman
[8] Informasi Kontak

Silahkan beritahu saya pertanyaan dengan mengetikan pertanyaan anda."
13,"sapaan","sore","Hallo! Selamat datang di Adithya Card. Berikut informasi yang tersedia :

[1] Lokasi dan jam buka
[2] Menu Produk
[3] Cara Pemesanan
[4] Minimal Order
[5] Lama Proses Cetak
[6] Pembayaran
[7] Pengiriman
[8] Informasi Kontak

Silahkan beritahu saya pertanyaan dengan mengetikan pertanyaan anda."
14,"sapaan","menu","Hallo! Selamat datang di Adithya Card. Berikut informasi yang tersedia :

[1] Lokasi dan jam buka
[2] Menu Produk
[3] Cara Pemesanan
[4] Minimal Order
[5] Lama Proses Cetak
[6] Pembayaran
[7] Pengiriman
[8] Informasi Kontak

Silahkan beritahu saya pertanyaan dengan mengetikan pertanyaan anda."
17,"lokasi","dimana alamat toko?","Adhitya Card memiliki dua alamat kantor

Jl Bakti No.11a, Pettarani
[ https://goo.gl/maps/n8mfu7fk7W3vm8vC8 ]

Jln.Muh.Yunus Bulurokeng Samping Tol Makassar
[ https://goo.gl/maps/swmvi9t1kMM4X3nW8 ]

Adhitya Card buka setiap hari
Jam Operasional:
Senin : 09.00-22.00
Selasa : 09.00-22.00
Rabu : 09.00-22.00
Kamis : 09.00-22.00
Jumat : 09.00-22.00
Sabtu : 09.00-22.00
Minggu : Tutup

Jika anda membutuhkan bantuan atau informasi lebih lanjut silahkan hubungi kami melalui pesan chat. Terima kasih😁"
18,"lokasi","tokonya berada dimana?","Adhitya Card memiliki dua alamat kantor

Jl Bakti No.11a, Pettarani
[ https://goo.gl/maps/n8mfu7fk7W3vm8vC8 ]

Jln.Muh.Yunus Bulurokeng Samping Tol Makassar
[ https://goo.gl/maps/swmvi9t1kMM4X3nW8 ]

Adhitya Card buka setiap hari
Jam Operasional:
Senin : 09.00-22.00
Selasa : 09.00-22.00
Rabu : 09.00-22.00
Kamis : 09.00-22.00
Jumat : 09.00-22.00
Sabtu : 09.00-22.00
Minggu : Tutup

Jika anda membutuhkan bantuan atau informasi lebih lanjut silahkan hubungi kami melalui pesan chat. Terima kasih😁"
19,"lokasi","tokonya berlokasi dimana","Adhitya Card memiliki dua alamat kantor

Jl Bakti No.11a, Pettarani
[ https://goo.gl/maps/n8mfu7fk7W3vm8vC8 ]

Jln.Muh.Yunus Bulurokeng Samping Tol Makassar
[ https://goo.gl/maps/swmvi9t1kMM4X3nW8 ]

Adhitya Card buka setiap hari
Jam Operasional:
Senin : 09.00-22.00
Selasa : 09.00-22.00
Rabu : 09.00-22.00
Kamis : 09.00-22.00
Jumat : 09.00-22.00
Sabtu : 09.00-22.00
Minggu : Tutup

Jika anda membutuhkan bantuan atau informasi lebih lanjut silahkan hubungi kami melalui pesan chat. Terima kasih😁"
20,"lokasi","saya ingin tahu alamat lengkap toko","Adhitya Card memiliki dua alamat kantor

Jl Bakti No.11a, Pettarani
[ https://goo.gl/maps/n8mfu7fk7W3vm8vC8 ]

Jln.Muh.Yunus Bulurokeng Samping Tol Makassar
[ https://goo.gl/maps/swmvi9t1kMM4X3nW8 ]

Adhitya Card buka setiap hari
Jam Operasional:
Senin : 09.00-22.00
Selasa : 09.00-22.00
Rabu : 09.00-22.00
Kamis : 09.00-22.00
Jumat : 09.00-22.00
Sabtu : 09.00-22.00
Minggu : Tutup

Jika anda membutuhkan bantuan atau informasi lebih lanjut silahkan hubungi kami melalui pesan chat. Terima kasih😁"
21,"lokasi","bisa sharelock alamat tokonya","Adhitya Card memiliki dua alamat kantor

Jl Bakti No.11a, Pettarani
[ https://goo.gl/maps/n8mfu7fk7W3vm8vC8 ]

Jln.Muh.Yunus Bulurokeng Samping Tol Makassar
[ https://goo.gl/maps/swmvi9t1kMM4X3nW8 ]

Adhitya Card buka setiap hari
Jam Operasional:
Senin : 09.00-22.00
Selasa : 09.00-22.00
Rabu : 09.00-22.00
Kamis : 09.00-22.00
Jumat : 09.00-22.00
Sabtu : 09.00-22.00
Minggu : Tutup

Jika anda membutuhkan bantuan atau informasi lebih lanjut silahkan hubungi kami melalui pesan chat. Terima kasih😁"
